,Unnamed: 0,state,date,retail,grocery,parks,transit,workplaces,residential,fips,cases,deaths
0,3,Arizona,2020-02-15,3,2,13.0,3.0,-1,0,4,1,0
1,5,California,2020-02-15,1,1,19.0,1.0,-1,0,6,7,0
2,14,Illinois,2020-02-15,4,3,10.0,3.0,3,-1,17,2,0
3,22,Massachusetts,2020-02-15,2,-4,0.0,3.0,-2,0,25,1,0
4,44,Texas,2020-02-15,3,3,12.0,3.0,1,-1,48,2,0
5,48,Washington,2020-02-15,2,-1,8.0,8.0,-3,0,53,1,0
6,50,Wisconsin,2020-02-15,7,6,22.0,3.0,3,-1,55,1,0
7,55,Arizona,2020-02-16,7,3,30.0,3.0,0,-1,4,1,0
8,57,California,2020-02-16,5,0,31.0,1.0,-1,-1,6,7,0
9,66,Illinois,2020-02-16,8,2,29.0,3.0,2,-1,17,2,0
10,74,Massachusetts,2020-02-16,6,-4,3.0,-1.0,0,0,25,1,0
11,96,Texas,2020-02-16,8,3,20.0,4.0,1,-1,48,2,0
12,100,Washington,2020-02-16,15,3,19.0,5.0,-1,-1,53,1,0
13,102,Wisconsin,2020-02-16,12,6,34.0,-1.0,2,-2,55,1,0
14,107,Arizona,2020-02-17,9,1,35.0,1.0,-25,5,4,1,0
15,109,California,2020-02-17,9,1,44.0,-12.0,-38,8,6,7,0
16,118,Illinois,2020-02-17,2,-3,-14.0,-13.0,-23,6,17,2,0
17,126,Massachusetts,2020-02-17,11,-2,32.0,-26.0,-42,9,25,1,0
18,132,Nebraska,2020-02-17,7,1,13.0,1.0,-14,4,31,10,0
19,148,Texas,2020-02-17,6,2,21.0,2.0,-18,4,48,2,0
20,152,Washington,2020-02-17,12,2,63.0,-7.0,-35,6,53,1,0
21,154,Wisconsin,2020-02-17,-6,-2,-1.0,-7.0,-5,3,55,1,0
22,159,Arizona,2020-02-18,2,2,14.0,6.0,2,0,4,1,0
23,161,California,2020-02-18,0,0,16.0,3.0,0,0,6,7,0
24,170,Illinois,2020-02-18,1,-1,5.0,2.0,1,0,17,2,0
25,178,Massachusetts,2020-02-18,-4,-10,-18.0,-4.0,-10,3,25,1,0
26,184,Nebraska,2020-02-18,5,2,24.0,6.0,2,0,31,10,0
27,200,Texas,2020-02-18,-1,-1,-4.0,3.0,1,0,48,2,0
28,204,Washington,2020-02-18,5,2,52.0,7.0,-4,0,53,1,0
