expedition_id,peak_id,peak_name,year,season,basecamp_date,highpoint_date,termination_date,termination_reason,highpoint_metres,members,member_deaths,hired_staff,hired_staff_deaths,oxygen_used,trekking_agency
PANN09301,PANN,Pangbuk North,2009,Autumn,9/26/2009,10/22/2009,10/25/2009,Success (claimed),6150,8,0,2,0,FALSE,Tenzing Asian Holidays
KABD64101,KABD,Kabru Dome,1964,Spring,NA,NA,NA,Success (claimed),6660,0,0,0,0,FALSE,NA
BARU02301,BARU,Baruntse,2002,Autumn,10/4/2002,10/19/2002,10/21/2002,Success (claimed),6900,2,0,4,0,FALSE,Sherpa Summit Treks
CHAM81301,CHAM,Chamlang,1981,Autumn,9/13/1981,9/26/1981,10/3/1981,Success (claimed),7050,7,0,2,0,FALSE,NA
CTSE82302,CTSE,Changtse,1982,Autumn,NA,NA,NA,Success (claimed),7583,2,0,0,0,FALSE,NA
CHOY95109,CHOY,Cho Oyu,1995,Spring,NA,5/7/1995,NA,Success (claimed),8000,1,0,0,0,FALSE,None
CHOY11116,CHOY,Cho Oyu,2011,Spring,4/18/2011,5/5/2011,5/9/2011,Success (claimed),8000,2,0,0,0,FALSE,Asian Trekking
ANN184403,ANN1,Annapurna I,1984,Winter,11/22/1984,12/7/1984,NA,Success (claimed),8091,5,0,8,0,TRUE,NA
ANN190303,ANN1,Annapurna I,1990,Autumn,10/5/1990,10/25/1990,NA,Success (claimed),8091,1,0,2,0,FALSE,Probably none
CHOY90103,CHOY,Cho Oyu,1990,Spring,4/4/1990,4/30/1990,5/7/1990,Success (claimed),8100,9,0,4,0,FALSE,Trekking International
CHOY64101,CHOY,Cho Oyu,1964,Spring,4/4/1964,4/25/1964,NA,Success (claimed),8100,5,2,12,0,FALSE,NA
CHOY98102,CHOY,Cho Oyu,1998,Spring,4/12/1998,5/1/1998,NA,Success (claimed),8100,10,0,0,0,FALSE,Thamserku Trekking
DHA196304,DHA1,Dhaulagiri I,1996,Autumn,9/20/1996,10/17/1996,10/23/1996,Success (claimed),8167,1,0,0,0,FALSE,Trekking International
CHOY79301,CHOY,Cho Oyu,1979,Autumn,9/20/1979,10/10/1979,NA,Success (claimed),8201,1,0,0,0,FALSE,NA
CHOY86104,CHOY,Cho Oyu,1986,Spring,NA,5/12/1986,NA,Success (claimed),8201,1,0,0,0,FALSE,NA
LHOT94303,LHOT,Lhotse,1994,Autumn,9/22/1994,10/11/1994,NA,Success (claimed),8400,8,0,1,0,FALSE,Cho Oyu Trekking
EVER06198,EVER,Everest,2006,Spring,NA,5/14/2006,NA,Success (claimed),8700,1,0,2,0,TRUE,None
