"","state","district_id","cand_id","incumbent","party","primary_votes","primary_percent","runoff_votes","runoff_percent","general_votes","general_percent","won","footnotes","cand_name","cand_ici","pty_cd","cand_pty_affiliation","ttl_receipts","trans_from_auth","ttl_disb","trans_to_auth","coh_bop","coh_cop","cand_contrib","cand_loans","other_loans","cand_loan_repay","other_loan_repay","debts_owed_by","ttl_indiv_contrib","cand_office_st","cand_office_district","other_pol_cmte_contrib","pol_pty_contrib","cvg_end_dt","indiv_refunds","cmte_refunds"
"1","AL","01","H4AL01123",TRUE,"REP",71310,0.601117770528286,NA,NA,208083,0.963824672407165,TRUE,NA,"BYRNE, BRADLEY ROBERTS","I",2,"REP",1367469.77,33152,1172750.28,0,251598.84,446318.33,0,0,0,0,0,0,491117.77,"AL","01",843200,0,2016-12-31,1100,0
"2","AL","01","H6AL01060",FALSE,"REP",47319,0.398882229471714,NA,NA,NA,NA,FALSE,NA,"YOUNG JR, LARRY DEAN","C",2,"REP",178766.88,0,178474.16,0,0,0,0,159000,0,0,0,0,19766.88,"AL","01",0,0,2016-04-14,0,0
"3","AL","02","H0AL02087",TRUE,"REP",78689,0.663706140350877,NA,NA,134886,0.487685477106413,TRUE,NA,"ROBY, MARTHA","I",2,"REP",1404260.12,0,1850535.64,0,491726.24,45450.72,0,0,0,0,0,0,574878.88,"AL","02",828775,0,2016-12-31,17550,4283.03
"4","AL","02","H6AL02142",FALSE,"REP",33015,0.278466599190283,NA,NA,NA,NA,FALSE,NA,"GERRITSON, REBECCA (BECKY)","C",2,"REP",206908.19,0,206908.19,0,0,0,12731.58,0,0,0,0,0,180871.8,"AL","02",11500,0,2016-09-30,1845,0
"5","AL","02","H6AL02159",FALSE,"REP",6856,0.0578272604588394,NA,NA,NA,NA,FALSE,NA,"ROGERS, ROBERT L","C",2,"REP",25382,0,32492,0,0,0,0,25482,0,7110,0,0,0,"AL","02",0,0,2016-04-15,0,0
"6","AL","02","H6AL02167",FALSE,"DEM",NA,NA,NA,NA,112089,0.405262054204148,FALSE,NA,"MATHIS, NATHAN","C",1,"DEM",36844,0,36844,0,0,0,0,36844,0,0,0,19757,0,"AL","02",0,0,2016-11-16,0,0
"7","AL","03","H2AL03032",TRUE,"REP",77432,0.759837497301435,NA,NA,192164,0.66931843513152,TRUE,NA,"ROGERS, MICHAEL DENNIS","I",2,"REP",1139022.37,0,1071289.42,167500,457814.01,525546.96,0,0,0,0,0,0,459627,"AL","03",660800,14850,2016-12-31,1000,200
"8","AL","03","H6AL03157",FALSE,"REP",24474,0.240162502698565,NA,NA,NA,NA,FALSE,NA,"DICHIARA, LARRY","C",2,"REP",64791.68,0,67148.66,0,0,-2356.98,0,47073.64,0,0,0,53062.78,17718.04,"AL","03",0,0,2016-03-09,0,0
"9","AL","03","H4AL03061",FALSE,"DEM",NA,NA,NA,NA,94549,0.329319689032546,FALSE,NA,"SMITH, JESSE TREMAIN","C",1,"DEM",9810,0,7348,0,0,0,3200,0,0,0,0,0,9810,"AL","03",0,0,2016-12-31,0,0
"10","AL","04","H6AL04098",TRUE,"REP",86660,0.811757652965641,NA,NA,235925,0.985303452999449,TRUE,NA,"ADERHOLT, ROBERT BROWN","I",2,"REP",1441035.62,0,1394461.23,0,418937.87,465512.26,0,0,0,0,0,0,484207.65,"AL","04",953802.12,0,2016-12-31,2751,3000
"11","AL","04","H6AL04148",FALSE,"REP",20096,0.188242347034359,NA,NA,NA,NA,FALSE,NA,"NORRIS, PHILLIP","C",2,"REP",3605.76,0,3605.76,0,0,0,3500,0,0,0,0,0,105,"AL","04",0,0,2016-06-24,55.31,0
"12","AL","05","H0AL05163",TRUE,"REP",NA,NA,NA,NA,205647,0.666979106530101,TRUE,NA,"BROOKS, MO","I",2,"REP",476225.18,0,119723.76,5000,814436.28,1170937.7,0,0,0,0,0,0,211307,"AL","05",260033.21,0,2016-12-31,50,0
"13","AL","05","H6AL05202",FALSE,"DEM",NA,NA,NA,NA,102234,0.331577615900054,FALSE,NA,"BOYD, WILLIE ""WILL"" DR. JR.","C",1,"DEM",61311.93,0,61251.11,0,0,60.82,2841.98,0,2893.2,0,0,0,35546.75,"AL","05",19500,500,2016-12-31,0,0
"14","AL","06","H4AL06098",TRUE,"REP",NA,NA,NA,NA,245313,0.744939357315081,TRUE,NA,"PALMER, GARY","I",2,"REP",1232446.2,0,769978.37,0,189712.5,652180.33,0,0,0,0,0,0,931340.52,"AL","06",285264,0,2016-12-31,13050,2700
"15","AL","06","H6AL06127",FALSE,"DEM",NA,NA,NA,NA,83709,0.254198222929433,FALSE,NA,"PUTMAN, DAVID","C",1,"DEM",197378.52,0,197378.52,0,0,0,76959.52,112400,0,112400,0,0,8019,"AL","06",0,0,2016-12-31,0,0
"16","AL","07","H0AL07086",TRUE,"DEM",NA,NA,NA,NA,229330,0.984130662409668,TRUE,NA,"SEWELL, TERRYCINA ANDREA","I",1,"DEM",1630079.97,0,1087017.93,260210,421463.72,964525.76,0,0,0,0,0,0,363610.21,"AL","07",1263095,0,2016-12-31,11700,1500
"17","AK","00","H6AK00045",TRUE,"REP",38998,0.715192194835681,NA,NA,155088,0.503208976047865,TRUE,NA,"YOUNG, DONALD E","I",2,"REP",1103561.86,0,1322055.12,0,488220.12,269726.86,0,0,0,0,0,0,640393.04,"AK","00",459603.99,0,2016-12-31,2250,3000
"18","AK","00","H6AK00235",FALSE,"DEM",17009,0.678812307937902,NA,NA,111019,0.360219728875593,FALSE,NA,"LINDBECK, STEVE",NA,1,"DEM",1102309.77,0,1098098.09,0,0,4211.68,17555,0,0,0,0,10800,999400.98,"AK",NA,67074.61,5000,2016-12-31,884.01,0
