"","rate","views","length","ratings"
"1",3,"204","126",2
"2",3.91,"1652","243",11
"3",4.48,"898","105",81
"4",5,"928","278",24
"5",1.5,"392","26",8
"6",5,"318","252",2
"7",3,"749","162",6
"8",0,"10","37",0
"9",2,"115","166",1
"12",5,"37","361",1
"13",5,"266","243",3
"14",4.65,"4516","167",52
"15",4.73,"2912","234",30
"18",0,"8185","127",0
"19",5,"445","421",1
"20",5,"725","240",17
"21",5,"306","150",2
"22",1,"82","362",1
"23",5,"57","48",1
"24",2,"589","474",3
"25",1,"286","106",2
"26",4.7,"627","523",10
"27",0,"66","422",0
"28",4.28,"3320","196",29
"29",3.33,"1586","89",3
"30",4.77,"3989","303",35
"31",4.75,"3484","260",51
"32",0,"38","243",0
"33",0,"90","16",0
"40",4.75,"253","259",4
"43",0,"21","57",0
"44",0,"13","40",0
"45",0,"16","17",0
"46",0,"21","31",0
"47",1.52,"642","80",29
"48",0,"3","21",0
"49",0,"44","19",0
"50",3,"145","243",2
"51",2.11,"781","13",53
"52",3.29,"125","117",7
"53",5,"789","100",2
"54",0,"511","37",0
"55",3.67,"589","34",3
"56",2.67,"552","32",3
"57",0,"36","84",0
"58",2.5,"671","223",2
"59",5,"54","41",1
"60",0,"31","56",0
"61",4,"272","27",1
"62",3,"591","13",2
"63",4.57,"360","28",7
"64",5,"247","164",1
"67",5,"12","97",1
"68",1,"60","248",1
"69",3.67,"47","25",3
"70",0,"17","49",0
"71",4.65,"2325","341",43
"72",1,"80","230",1
"75",5,"2782","111",24
"76",2.7,"3606","236",43
"79",2.8,"173","458",5
"80",5,"155","150",1
"81",5,"2006","30",12
"82",5,"3545","84",8
"83",4.81,"13380","30",16
"84",5,"1522","29",5
"87",5,"50","186",6
"97",4.17,"3270","238",18
"98",4.76,"1808","245",17
"99",3.4,"3429","421",30
"100",5,"3025","688",11
"101",4.25,"2361","296",4
"102",4.89,"6660","85",19
"103",5,"573","182",3
"104",4.69,"9896","32",29
"105",4.65,"10899","192",34
"106",4.33,"4190","139",9
"107",5,"5441","157",8
"108",4.72,"6051","190",18
"109",5,"147","218",2
"110",4.6,"3600","149",10
"111",4.78,"21614","30",18
"112",4.73,"5234","575",15
"113",4.65,"31836","50",34
"114",4.86,"2389","280",7
"115",5,"4540","355",8
"116",5,"5113","75",8
"117",4.64,"6709","224",22
"118",4.41,"7346","97",29
"119",4.89,"10359","166",28
"120",4.52,"28440","122",56
"121",0,"760","285",0
"122",4.6,"1531","245",10
"127",5,"516","565",2
"142",4.67,"136","172",3
"147",5,"261","151",3
"174",0,"175","343",0
"177",4.5,"1655","246",8
"184",5,"380","597",6
"185",5,"464","512",6
"200",1,"177","545",1
"201",1,"2014","101",4
"202",0,"137","147",0
"217",2,"116","117",4
"230",5,"214","189",8
"233",4.29,"14749","392",7
"236",5,"219","276",1
"237",5,"435","121",2
"238",4,"1206","65",4
"243",1,"185","15",1
"244",3.4,"916","54",10
"245",3.5,"3856","176",4
"246",4,"1335","30",3
"251",5,"100","120",1
"252",3.4,"558","165",5
"257",0,"110","22",0
"260",3,"159","45",2
"261",0,"61","24",0
"262",0,"142","65",0
"263",3,"434","121",2
"264",0,"70","87",0
"275",0,"46","178",0
"278",3.6,"548","102",10
"287",0,"44","134",0
"288",0,"18","307",0
"289",4.78,"92279","180",130
"292",4.92,"493","241",26
"295",4.5,"10718","242",34
"296",4,"209","409",1
"297",2.33,"248","180",3
"298",0,"958","47",0
"301",1,"290","431",1
"302",4.6,"5495","178",10
"303",1.69,"1814","18",58
"304",4,"388","191",1
"305",0,"154","42",0
"310",2,"1573","24",1
"311",0,"364","21",0
"312",5,"62","209",1
"313",3.25,"2836","55",4
"314",5,"663","36",2
"317",4.47,"4012","407",17
"318",3.4,"3303","46",5
"323",4.11,"4667","86",9
"324",0,"888","80",0
"325",5,"681","451",4
"328",1,"85","111",1
"329",4.2,"1042","195",5
"330",5,"517","286",6
"331",0,"2802","41",0
"332",3.33,"2707","130",3
"333",4.5,"419","188",2
"334",5,"1236","93",7
"339",0,"193","178",0
"340",4.67,"109","425",3
"343",4,"790","134",2
"344",0,"68","5",0
"345",0,"181","16",0
"348",5,"793","24",2
"349",1.57,"5659","39",7
"350",4,"3029","19",4
"351",5,"3742","5",3
"354",2.33,"1237","12",3
"355",3.91,"14215","8",23
"356",3.67,"722","47",3
"359",0,"80","47",0
"360",5,"7167","6",3
"361",5,"733","112",4
"362",4.33,"1237","394",6
"365",4.58,"1601","195",19
"366",0,"18","88",0
"367",4.67,"528","92",3
"368",4.43,"2814","161",21
"369",4,"57676","48",19
"372",0,"49","270",0
"373",0,"61","9",0
"374",5,"140","79",2
"375",0,"69","305",0
"376",5,"355","200",4
"377",4,"1180","113",10
"380",5,"1897","230",10
"381",4.57,"14437","318",23
"382",5,"537","218",1
"383",3.81,"13309","15",16
"386",3.25,"4800","4",8
"387",4.63,"12338","78",30
"388",4.4,"796","295",5
"389",4.86,"12368","152",50
"390",4.67,"3616","64",9
"391",4.8,"16817","219",30
"400",4.69,"136731","246",93
"401",4.85,"11035","211",39
"404",4.88,"6758","519",17
"407",5,"2961","659",8
"410",0,"393","11",0
"411",4.42,"3731","133",31
"414",3.78,"235777","294",219
"415",4.58,"9649","276",12
"416",4.79,"2527","294",14
"417",0,"1216","274",0
"418",0,"781","190",0
"419",5,"2981","344",9
"420",4.94,"10129","242",31
"421",4.6,"450","151",15
"422",4.69,"3257","47",13
"423",0,"381","550",0
"424",5,"1392","124",6
"425",0,"452","15",0
"426",3.4,"924","51",5
"427",0,"216","56",0
"428",3.43,"1284","312",7
"429",5,"976","359",9
"430",5,"2529","424",4
"431",5,"207","274",1
"432",5,"3586","406",5
"453",5,"92","243",1
"454",4.89,"9890","604",56
"455",5,"115","130",1
"456",5,"236","172",2
"457",0,"27","151",0
"458",5,"176","13",4
"459",4.89,"5034","123",19
"462",5,"10477","196",24
"463",3.53,"12428","191",15
"464",4.96,"21638","180",47
"465",5,"6363","187",14
"466",4.87,"7031","167",23
"467",5,"2345","184",5
"468",4.72,"9206","189",25
"469",5,"767","241",7
"470",5,"984","210",2
"471",4.89,"19424","246",18
"472",4.5,"9285","214",18
"473",4.82,"10669","213",38
"474",4.6,"2989","233",5
"475",4.33,"8735","119",15
"476",4.62,"3729","273",8
"477",3.47,"6972","160",15
"478",3,"2728","235",2
"479",5,"11428","315",29
"480",5,"1389","210",1
"481",3.88,"9515","160",17
"482",0,"88","52",0
"483",3.33,"29","56",3
"484",3,"56","60",2
"485",5,"38","95",3
"486",5,"33","251",3
"489",3.4,"22","91",5
"490",3.67,"31","73",3
"491",0,"30","207",0
"492",5,"46","69",1
"493",2.33,"59","57",3
"494",5,"86","57",1
"495",3.09,"91","96",11
"496",3.33,"30","52",3
"497",5,"302","31",2
"498",4.84,"3298","205",32
"499",4.8,"1049","215",10
"500",5,"564","75",2
"501",5,"192","64",3
"502",5,"336","39",2
"503",5,"7978","320",12
"504",5,"792","88",7
"505",5,"523","22",2
"506",5,"389","19",2
"507",4.8,"590","232",5
"508",4.86,"1557","217",7
"509",5,"371","29",5
"510",5,"457","56",1
"511",4.33,"974","211",6
"512",5,"179","89",1
"513",5,"1075","52",5
"514",5,"200","56",2
"515",0,"202","21",0
"516",5,"186","205",8
"526",5,"37","496",1
"527",0,"38","79",0
"528",4,"37","18",1
"529",5,"127","236",1
"532",5,"236","49",1
"533",4.58,"258","250",12
"536",0,"673","203",0
"537",5,"153","181",2
"538",0,"152","18",0
"539",0,"220","69",0
"542",0,"213","24",0
"543",0,"833","7",0
"546",5,"128","285",4
"553",0,"338","28",0
"556",4,"498","269",5
"559",0,"85","180",0
"562",5,"116","12",1
"563",0,"144","205",0
"564",5,"76","171",1
"565",0,"35","127",0
"568",1,"419","241",1
"569",0,"48","5",0
"570",4.85,"8014","285",39
"577",0,"187","60",0
"586",5,"996","80",2
"591",5,"3555","429",26
"592",3,"443","103",2
"593",5,"3004","600",21
"594",4.95,"3050","600",21
"595",5,"2514","600",18
"600",4.98,"2133","70",43
"607",5,"502","116",35
"610",5,"491","56",10
"611",3.44,"62574","344",62
"612",4,"8410","104",5
"615",4,"10666","59",4
"616",5,"3300","353",4
