	Unnamed: 0	rate	views	length	ratings
0	1	3.0	204	126	2
1	2	3.91	1652	243	11
2	3	4.48	898	105	81
3	4	5.0	928	278	24
4	5	1.5	392	26	8
5	6	5.0	318	252	2
6	7	3.0	749	162	6
7	8	0.0	10	37	0
8	9	2.0	115	166	1
9	12	5.0	37	361	1
10	13	5.0	266	243	3
11	14	4.65	4516	167	52
12	15	4.73	2912	234	30
13	18	0.0	8185	127	0
14	19	5.0	445	421	1
15	20	5.0	725	240	17
16	21	5.0	306	150	2
17	22	1.0	82	362	1
18	23	5.0	57	48	1
19	24	2.0	589	474	3
20	25	1.0	286	106	2
21	26	4.7	627	523	10
22	27	0.0	66	422	0
23	28	4.28	3320	196	29
24	29	3.33	1586	89	3
25	30	4.77	3989	303	35
26	31	4.75	3484	260	51
27	32	0.0	38	243	0
28	33	0.0	90	16	0
29	40	4.75	253	259	4
30	43	0.0	21	57	0
31	44	0.0	13	40	0
32	45	0.0	16	17	0
33	46	0.0	21	31	0
34	47	1.52	642	80	29
35	48	0.0	3	21	0
36	49	0.0	44	19	0
37	50	3.0	145	243	2
38	51	2.11	781	13	53
39	52	3.29	125	117	7
40	53	5.0	789	100	2
41	54	0.0	511	37	0
42	55	3.67	589	34	3
43	56	2.67	552	32	3
44	57	0.0	36	84	0
45	58	2.5	671	223	2
46	59	5.0	54	41	1
47	60	0.0	31	56	0
48	61	4.0	272	27	1
49	62	3.0	591	13	2
50	63	4.57	360	28	7
51	64	5.0	247	164	1
52	67	5.0	12	97	1
53	68	1.0	60	248	1
54	69	3.67	47	25	3
55	70	0.0	17	49	0
56	71	4.65	2325	341	43
57	72	1.0	80	230	1
58	75	5.0	2782	111	24
59	76	2.7	3606	236	43
60	79	2.8	173	458	5
61	80	5.0	155	150	1
62	81	5.0	2006	30	12
63	82	5.0	3545	84	8
64	83	4.81	13380	30	16
65	84	5.0	1522	29	5
66	87	5.0	50	186	6
67	97	4.17	3270	238	18
68	98	4.76	1808	245	17
69	99	3.4	3429	421	30
70	100	5.0	3025	688	11
71	101	4.25	2361	296	4
72	102	4.89	6660	85	19
73	103	5.0	573	182	3
74	104	4.69	9896	32	29
75	105	4.65	10899	192	34
76	106	4.33	4190	139	9
77	107	5.0	5441	157	8
78	108	4.72	6051	190	18
79	109	5.0	147	218	2
80	110	4.6	3600	149	10
81	111	4.78	21614	30	18
82	112	4.73	5234	575	15
83	113	4.65	31836	50	34
84	114	4.86	2389	280	7
85	115	5.0	4540	355	8
86	116	5.0	5113	75	8
87	117	4.64	6709	224	22
88	118	4.41	7346	97	29
89	119	4.89	10359	166	28
90	120	4.52	28440	122	56
91	121	0.0	760	285	0
92	122	4.6	1531	245	10
93	127	5.0	516	565	2
94	142	4.67	136	172	3
95	147	5.0	261	151	3
96	174	0.0	175	343	0
97	177	4.5	1655	246	8
98	184	5.0	380	597	6
99	185	5.0	464	512	6
100	200	1.0	177	545	1
101	201	1.0	2014	101	4
102	202	0.0	137	147	0
103	217	2.0	116	117	4
104	230	5.0	214	189	8
105	233	4.29	14749	392	7
106	236	5.0	219	276	1
107	237	5.0	435	121	2
108	238	4.0	1206	65	4
109	243	1.0	185	15	1
110	244	3.4	916	54	10
111	245	3.5	3856	176	4
112	246	4.0	1335	30	3
113	251	5.0	100	120	1
114	252	3.4	558	165	5
115	257	0.0	110	22	0
116	260	3.0	159	45	2
117	261	0.0	61	24	0
118	262	0.0	142	65	0
119	263	3.0	434	121	2
120	264	0.0	70	87	0
121	275	0.0	46	178	0
122	278	3.6	548	102	10
123	287	0.0	44	134	0
124	288	0.0	18	307	0
125	289	4.78	92279	180	130
126	292	4.92	493	241	26
127	295	4.5	10718	242	34
128	296	4.0	209	409	1
129	297	2.33	248	180	3
130	298	0.0	958	47	0
131	301	1.0	290	431	1
132	302	4.6	5495	178	10
133	303	1.69	1814	18	58
134	304	4.0	388	191	1
135	305	0.0	154	42	0
136	310	2.0	1573	24	1
137	311	0.0	364	21	0
138	312	5.0	62	209	1
139	313	3.25	2836	55	4
140	314	5.0	663	36	2
141	317	4.47	4012	407	17
142	318	3.4	3303	46	5
143	323	4.11	4667	86	9
144	324	0.0	888	80	0
145	325	5.0	681	451	4
146	328	1.0	85	111	1
147	329	4.2	1042	195	5
148	330	5.0	517	286	6
149	331	0.0	2802	41	0
150	332	3.33	2707	130	3
151	333	4.5	419	188	2
152	334	5.0	1236	93	7
153	339	0.0	193	178	0
154	340	4.67	109	425	3
155	343	4.0	790	134	2
156	344	0.0	68	5	0
157	345	0.0	181	16	0
158	348	5.0	793	24	2
159	349	1.57	5659	39	7
160	350	4.0	3029	19	4
161	351	5.0	3742	5	3
162	354	2.33	1237	12	3
163	355	3.91	14215	8	23
164	356	3.67	722	47	3
165	359	0.0	80	47	0
166	360	5.0	7167	6	3
167	361	5.0	733	112	4
168	362	4.33	1237	394	6
169	365	4.58	1601	195	19
170	366	0.0	18	88	0
171	367	4.67	528	92	3
172	368	4.43	2814	161	21
173	369	4.0	57676	48	19
174	372	0.0	49	270	0
175	373	0.0	61	9	0
176	374	5.0	140	79	2
177	375	0.0	69	305	0
178	376	5.0	355	200	4
179	377	4.0	1180	113	10
180	380	5.0	1897	230	10
181	381	4.57	14437	318	23
182	382	5.0	537	218	1
183	383	3.81	13309	15	16
184	386	3.25	4800	4	8
185	387	4.63	12338	78	30
186	388	4.4	796	295	5
187	389	4.86	12368	152	50
188	390	4.67	3616	64	9
189	391	4.8	16817	219	30
190	400	4.69	136731	246	93
191	401	4.85	11035	211	39
192	404	4.88	6758	519	17
193	407	5.0	2961	659	8
194	410	0.0	393	11	0
195	411	4.42	3731	133	31
196	414	3.78	235777	294	219
197	415	4.58	9649	276	12
198	416	4.79	2527	294	14
199	417	0.0	1216	274	0
200	418	0.0	781	190	0
201	419	5.0	2981	344	9
202	420	4.94	10129	242	31
203	421	4.6	450	151	15
204	422	4.69	3257	47	13
205	423	0.0	381	550	0
206	424	5.0	1392	124	6
207	425	0.0	452	15	0
208	426	3.4	924	51	5
209	427	0.0	216	56	0
210	428	3.43	1284	312	7
211	429	5.0	976	359	9
212	430	5.0	2529	424	4
213	431	5.0	207	274	1
214	432	5.0	3586	406	5
215	453	5.0	92	243	1
216	454	4.89	9890	604	56
217	455	5.0	115	130	1
218	456	5.0	236	172	2
219	457	0.0	27	151	0
220	458	5.0	176	13	4
221	459	4.89	5034	123	19
222	462	5.0	10477	196	24
223	463	3.53	12428	191	15
224	464	4.96	21638	180	47
225	465	5.0	6363	187	14
226	466	4.87	7031	167	23
227	467	5.0	2345	184	5
228	468	4.72	9206	189	25
229	469	5.0	767	241	7
230	470	5.0	984	210	2
231	471	4.89	19424	246	18
232	472	4.5	9285	214	18
233	473	4.82	10669	213	38
234	474	4.6	2989	233	5
235	475	4.33	8735	119	15
236	476	4.62	3729	273	8
237	477	3.47	6972	160	15
238	478	3.0	2728	235	2
239	479	5.0	11428	315	29
240	480	5.0	1389	210	1
241	481	3.88	9515	160	17
242	482	0.0	88	52	0
243	483	3.33	29	56	3
244	484	3.0	56	60	2
245	485	5.0	38	95	3
246	486	5.0	33	251	3
247	489	3.4	22	91	5
248	490	3.67	31	73	3
249	491	0.0	30	207	0
250	492	5.0	46	69	1
251	493	2.33	59	57	3
252	494	5.0	86	57	1
253	495	3.09	91	96	11
254	496	3.33	30	52	3
255	497	5.0	302	31	2
256	498	4.84	3298	205	32
257	499	4.8	1049	215	10
258	500	5.0	564	75	2
259	501	5.0	192	64	3
260	502	5.0	336	39	2
261	503	5.0	7978	320	12
262	504	5.0	792	88	7
263	505	5.0	523	22	2
264	506	5.0	389	19	2
265	507	4.8	590	232	5
266	508	4.86	1557	217	7
267	509	5.0	371	29	5
268	510	5.0	457	56	1
269	511	4.33	974	211	6
270	512	5.0	179	89	1
271	513	5.0	1075	52	5
272	514	5.0	200	56	2
273	515	0.0	202	21	0
274	516	5.0	186	205	8
275	526	5.0	37	496	1
276	527	0.0	38	79	0
277	528	4.0	37	18	1
278	529	5.0	127	236	1
279	532	5.0	236	49	1
280	533	4.58	258	250	12
281	536	0.0	673	203	0
282	537	5.0	153	181	2
283	538	0.0	152	18	0
284	539	0.0	220	69	0
285	542	0.0	213	24	0
286	543	0.0	833	7	0
287	546	5.0	128	285	4
288	553	0.0	338	28	0
289	556	4.0	498	269	5
290	559	0.0	85	180	0
291	562	5.0	116	12	1
292	563	0.0	144	205	0
293	564	5.0	76	171	1
294	565	0.0	35	127	0
295	568	1.0	419	241	1
296	569	0.0	48	5	0
297	570	4.85	8014	285	39
298	577	0.0	187	60	0
299	586	5.0	996	80	2
300	591	5.0	3555	429	26
301	592	3.0	443	103	2
302	593	5.0	3004	600	21
303	594	4.95	3050	600	21
304	595	5.0	2514	600	18
305	600	4.98	2133	70	43
306	607	5.0	502	116	35
307	610	5.0	491	56	10
308	611	3.44	62574	344	62
309	612	4.0	8410	104	5
310	615	4.0	10666	59	4
311	616	5.0	3300	353	4
312	617	4.67	13705	407	42
313	622	4.17	9878	505	6
314	625	1.0	4285	120	1
315	626	4.75	13087	420	12
316	627	3.6	10063	64	15
317	628	0.0	2970	205	0
318	629	2.33	1738	25	3
319	632	4.77	1760	368	94
320	641	2.0	86	4	4
321	644	4.77	994	206	93
322	645	4.62	2488	54	37
323	648	0.0	31	110	0
324	649	2.34	1422	616	107
325	652	3.89	4697	425	18
326	655	5.0	517	102	11
327	656	5.0	367	152	2
328	657	4.5	261	251	8
329	658	4.95	925	311	21
330	659	4.8	494	225	20
331	660	5.0	758	235	8
332	661	3.0	410	169	6
333	662	5.0	505	262	8
334	663	4.33	791	330	6
335	664	5.0	638	280	4
336	665	5.0	664	270	9
337	666	4.91	5279	92	45
338	669	5.0	531	233	5
339	670	4.62	523	252	8
340	671	5.0	867	253	5
341	672	4.92	623	311	12
342	673	4.38	637	176	8
343	674	4.9	5965	195	30
344	675	5.0	1448	34	1
345	676	3.0	48	120	2
346	679	5.0	1350	26	20
347	680	4.67	490	49	3
348	683	5.0	2399	441	20
349	684	5.0	1113	289	2
350	685	5.0	2955	660	18
351	702	4.0	4461	297	12
352	711	5.0	3456	138	3
353	718	4.5	3924	423	8
354	721	4.25	2925	217	4
355	722	5.0	1918	379	2
356	727	3.0	2734	247	4
357	728	4.43	12470	175	14
358	729	2.9	1259	235	10
359	730	3.0	1009	158	4
360	731	0.0	335	31	0
361	732	5.0	468	49	3
362	733	4.67	4263	14	9
363	734	5.0	404	225	3
364	737	5.0	10807	198	5
365	754	5.0	8278	97	13
366	757	3.05	10331	62	21
367	770	4.75	5579	101	8
368	771	4.67	1477	38	9
369	776	5.0	2700	33	1
370	777	4.94	9921	205	16
371	780	4.17	2247	404	6
372	781	4.0	2723	229	6
373	786	5.0	934	215	6
374	787	4.71	4277	202	31
375	788	0.0	159	259	0
376	789	2.33	1186	519	3
377	792	4.56	1852	180	9
378	793	4.64	2614	213	11
379	794	4.96	9709	300	53
380	795	5.0	1224	205	3
381	796	5.0	621	204	4
382	797	4.75	10954	46	4
383	802	4.84	129451	410	196
384	803	3.67	2450	56	3
385	804	4.56	3195	284	9
386	805	2.14	6770	639	7
387	806	1.0	1439	28	2
388	807	4.0	7799	389	11
389	808	5.0	6611	15	1
390	809	3.0	2562	64	2
391	812	2.36	5696	455	11
392	815	4.0	6101	106	11
393	820	5.0	1540	184	4
394	883	3.6	728	61	10
395	888	5.0	2999	171	2
396	889	5.0	352	98	1
397	892	0.0	273	222	0
398	939	2.86	437	148	7
399	962	5.0	224	18	1
400	1022	4.41	7441	232	17
401	1043	4.0	34	66	1
402	1054	4.0	380	57	8
403	1055	5.0	41	82	1
404	1064	5.0	62	276	1
405	1087	4.72	3564	312	18
406	1088	4.86	9541	256	58
407	1089	5.0	351	78	7
408	1092	5.0	2529	13	4
409	1095	5.0	784	203	13
410	1096	0.0	63	234	0
411	1097	4.96	587	325	28
412	1098	5.0	205	165	2
413	1099	5.0	122	192	5
414	1100	4.2	230	196	5
415	1101	4.57	133	248	7
416	1102	4.95	690	151	41
417	1103	4.67	10088	418	55
418	1104	5.0	310	219	2
419	1105	5.0	26	118	1
420	1106	0.0	183	210	0
421	1107	4.81	30509	45	47
422	1108	5.0	401	192	6
423	1109	5.0	2467	179	20
424	1110	4.45	4089	508	11
425	1111	4.88	7008	49	16
426	1112	4.78	99727	243	143
427	1113	5.0	320	211	3
428	1114	3.52	9911	98	27
429	1115	4.93	15589	514	46
430	1116	0.0	1279	9	0
431	1117	4.31	8313	411	16
432	1118	4.89	171434	308	391
433	1119	4.58	23744	343	105
434	1120	4.57	3889	79	7
435	1121	4.0	2561	44	7
436	1122	4.6	1397	220	5
437	1123	4.69	6206	49	13
438	1124	4.38	981	507	8
439	1125	1.0	88	197	2
440	1126	3.67	1355	400	12
441	1127	5.0	151	237	1
442	1128	4.2	50	194	5
443	1129	2.33	195	349	3
444	1132	0.0	13	402	0
445	1147	4.89	28479	213	80
446	1152	4.94	20962	108	54
447	1155	3.0	4291	111	2
448	1156	5.0	8562	383	21
449	1159	0.0	4833	363	0
450	1162	4.83	2618	270	6
451	1163	2.75	632	162	4
452	1164	4.0	155	203	1
453	1165	5.0	109	244	1
454	1170	1.0	24	79	2
455	1171	5.0	73	192	1
456	1172	3.23	2728	111	13
457	1175	5.0	185	171	1
458	1176	5.0	320	323	1
459	1177	4.8	220	361	10
460	1178	3.0	1452	335	12
461	1179	4.2	2995	14	49
462	1180	2.6	50	324	5
463	1181	4.94	21185	228	63
464	1184	3.67	171	352	3
465	1185	4.07	1250	109	14
466	1186	3.0	513	203	2
467	1187	4.62	1549	289	8
468	1188	4.2	1565	216	5
469	1191	4.85	23374	255	82
470	1194	4.86	17678	188	28
471	1195	4.96	2210	290	24
472	1198	5.0	1358	113	4
473	1199	5.0	6130	481	29
474	1200	5.0	2134	130	4
475	1201	5.0	2917	29	7
476	1202	4.85	7920	164	33
477	1203	5.0	2585	262	21
478	1204	4.5	1390	107	6
479	1205	5.0	1564	155	5
480	1206	5.0	2134	236	6
481	1207	4.86	3417	160	29
482	1208	5.0	2318	152	2
483	1211	4.69	5554	252	16
484	1212	0.0	312	254	0
485	1213	4.94	2549	290	16
486	1214	3.08	9109	180	12
487	1215	2.67	1296	275	12
488	1216	1.46	3871	41	26
489	1217	0.0	47	135	0
490	1218	5.0	19	23	1
491	1219	3.86	28646	113	29
492	1220	3.0	268	165	2
493	1221	5.0	1340	204	13
494	1222	5.0	1339	197	1
495	1223	2.78	4139	99	54
496	1228	4.39	7957	148	36
497	1231	4.1	18336	114	20
498	1234	4.09	3744	206	11
499	1235	5.0	1241	5	6
500	1242	4.86	2146	193	14
501	1243	4.73	1243	128	11
502	1244	4.74	5095	143	19
503	1245	5.0	654	213	4
504	1246	5.0	137	246	1
505	1247	4.91	2521	163	11
506	1248	5.0	156	239	3
507	1249	4.64	6458	412	25
508	1250	4.77	9092	291	31
509	1251	5.0	1229	195	8
510	1252	4.89	66420	286	246
511	1253	4.83	3741	608	18
512	1254	4.29	1533	626	14
513	1255	5.0	1002	164	5
514	1256	4.93	1636	601	14
515	1257	3.33	280	591	3
516	1260	3.2	13583	78	41
517	1263	5.0	11782	170	20
518	1264	2.35	2310	599	31
519	1265	4.42	24374	19	12
520	1266	3.78	89346	87	67
521	1269	3.0	2475	448	8
522	1270	5.0	233	459	3
523	1271	5.0	232	363	1
524	1272	4.0	184	267	2
525	1279	4.33	242	599	3
526	1280	5.0	3199	228	9
527	1281	4.43	53	297	7
