"","rate","views","length","ratings"
"1",3,204,126,2
"2",3.91,1652,243,11
"3",4.48,898,105,81
"4",5,928,278,24
"5",1.5,392,26,8
"6",5,318,252,2
"7",3,749,162,6
"8",0,10,37,0
"9",2,115,166,1
"10",4.67,617,139,24
"11",5,37,361,1
"12",5,266,243,3
"13",4.65,4516,167,52
"14",4.73,2912,234,30
"15",3.96,2742,361,114
"16",0,8185,127,0
"17",5,445,421,1
"18",5,725,240,17
"19",5,306,150,2
"20",1,82,362,1
"21",5,57,48,1
"22",2,589,474,3
"23",1,286,106,2
"24",4.7,627,523,10
"25",0,66,422,0
"26",4.28,3320,196,29
"27",3.33,1586,89,3
"28",4.77,3989,303,35
"29",4.75,3484,260,51
"30",0,38,243,0
"31",0,90,16,0
"32",4.17,8309,116,23
"33",4.75,10823,354,16
"34",0,57,191,0
"35",4.75,253,259,4
"36",3.36,354,12,11
"37",0,21,57,0
"38",0,13,40,0
"39",0,16,17,0
"40",0,21,31,0
"41",1.52,642,80,29
"42",0,3,21,0
"43",0,44,19,0
"44",3,145,243,2
"45",2.11,781,13,53
"46",3.29,125,117,7
"47",5,789,100,2
"48",0,511,37,0
"49",3.67,589,34,3
"50",2.67,552,32,3
"51",0,36,84,0
"52",2.5,671,223,2
"53",5,54,41,1
"54",0,31,56,0
"55",4,272,27,1
"56",3,591,13,2
"57",4.57,360,28,7
"58",5,247,164,1
"59",0,227,59,0
"60",5,12,97,1
"61",1,60,248,1
"62",3.67,47,25,3
"63",0,17,49,0
"64",4.65,2325,341,43
"65",1,80,230,1
"66",0,18,137,0
"67",5,2782,111,24
"68",2.7,3606,236,43
"69",5,63,63,1
"70",2.8,173,458,5
"71",5,155,150,1
"72",5,2006,30,12
"73",5,3545,84,8
"74",4.81,13380,30,16
"75",5,1522,29,5
"76",4.33,1564,30,3
"77",5,50,186,6
"79",4.85,4126,171,34
"80",4.58,1036,140,12
"81",4.67,3037,123,27
"82",4.73,1080,71,11
"83",4.17,3270,238,18
"84",4.76,1808,245,17
"85",3.4,3429,421,30
"86",5,3025,688,11
"87",4.25,2361,296,4
"88",4.89,6660,85,19
"89",5,573,182,3
"90",4.69,9896,32,29
"91",4.65,10899,192,34
"92",4.33,4190,139,9
"93",5,5441,157,8
"94",4.72,6051,190,18
"95",5,147,218,2
"96",4.6,3600,149,10
"97",4.78,21614,30,18
"98",4.73,5234,575,15
"99",4.65,31836,50,34
"100",4.86,2389,280,7
"101",5,4540,355,8
"102",5,5113,75,8
"103",4.64,6709,224,22
"104",4.41,7346,97,29
"105",4.89,10359,166,28
"106",4.52,28440,122,56
"107",0,760,285,0
"108",4.6,1531,245,10
"109",3,196,33,2
"110",2.78,877,30,18
"111",5,516,565,2
"112",4.25,264,38,4
"113",5,81,65,1
"114",5,95,76,1
"115",4.98,13057,232,341
"116",3,59,426,2
"117",5,89,256,2
"118",4.65,178,141,23
"119",4.67,136,172,3
"120",5,58,132,4
"121",4.75,263,401,4
"122",5,261,151,3
"123",5,627,131,17
"124",5,909,224,3
"125",5,169,335,3
"126",3.4,339,356,5
"127",5,155,652,6
"128",3,324,297,10
"129",3,171,123,2
"130",3.04,459,169,26
"131",4.86,3332,370,36
"132",0,158,51,0
"133",3.67,217,44,6
"134",0,53,169,0
"135",0,199,130,0
"136",0,175,343,0
"137",0,65,76,0
"138",4.5,1655,246,8
"139",5,73,19,5
"140",2.93,2477,645,15
"141",4.71,1844,225,146
"142",5,380,597,6
"143",5,464,512,6
"144",3.72,601,240,18
"145",5,2043,572,86
"146",4.9,1024,336,31
"147",4.91,2044,319,44
"148",5,112,110,5
"149",5,101,347,5
"150",5,158,589,7
"151",1,177,545,1
"152",1,2014,101,4
"153",0,137,147,0
"154",5,223,48,1
"155",3.67,80,346,3
"156",3.55,4575,54,11
"157",4.38,1742,363,76
"158",5,1129,305,3
"159",3.72,1883,130,18
"160",3,455,51,11
"161",2,116,117,4
"162",4.71,964,277,14
"163",3.34,20593,58,93
"164",3.67,418,210,3
"165",3.7,5504,470,61
"166",3.33,57,263,3
"167",5,287,433,2
"168",5,214,189,8
"169",5,154,81,5
"170",4.29,14749,392,7
"171",5,2267,30,6
"172",5,219,276,1
"173",5,435,121,2
"174",4,1206,65,4
"175",5,130,32,2
"176",5,200,91,1
"177",1,185,15,1
"178",3.4,916,54,10
"179",3.5,3856,176,4
"180",4,1335,30,3
"181",1,56,40,1
"182",3,138,69,2
"183",5,100,120,1
"184",3.4,558,165,5
"185",5,340,578,2
"186",4.7,1718,176,63
"187",0,110,22,0
"188",5,113,387,1
"189",3,159,45,2
"190",0,61,24,0
"191",0,142,65,0
"192",3,434,121,2
"193",0,70,87,0
"194",4.47,44440,10,445
"195",3,193,501,2
"196",4.6,6152,71,52
"197",4.06,2978,143,18
"198",4.98,2721,94,55
"199",0,46,178,0
"200",4.33,1385,262,24
"201",3.6,548,102,10
"202",4.31,839,71,13
"203",4.69,38944,300,786
"204",5,309,92,2
"205",4.43,594,71,7
"206",0,44,134,0
"207",0,18,307,0
"208",4.78,92279,180,130
"209",4.98,769,113,51
"210",4.92,493,241,26
"211",4.64,4146,46,36
"212",4.5,10718,242,34
"213",4,209,409,1
"214",2.33,248,180,3
"215",0,958,47,0
"216",3.92,4780,37,13
"217",1,290,431,1
"218",4.6,5495,178,10
"219",1.69,1814,18,58
"220",4,388,191,1
"221",0,154,42,0
"222",3.9,5472,100,21
"223",5,21,161,2
"224",2,1573,24,1
"225",0,364,21,0
"226",5,62,209,1
"227",3.25,2836,55,4
"228",5,663,36,2
"229",3.29,2923,61,7
"230",4.47,4012,407,17
"231",3.4,3303,46,5
"232",3,878,97,6
"233",5,718,75,1
"234",4.11,4667,86,9
"235",0,888,80,0
"236",5,681,451,4
"237",3.8,8884,524,5
"238",1,85,111,1
"239",4.2,1042,195,5
"240",5,517,286,6
"241",0,2802,41,0
"242",3.33,2707,130,3
"243",4.5,419,188,2
"244",5,1236,93,7
"245",5,1866,180,1
"246",2,1134,70,1
"247",0,193,178,0
"248",4.67,109,425,3
"249",0,97,27,0
"250",4,790,134,2
"251",0,68,5,0
"252",0,181,16,0
"253",3.66,18196,30,47
"254",5,793,24,2
"255",1.57,5659,39,7
"256",4,3029,19,4
"257",5,3742,5,3
"258",0,446,127,0
"259",2.33,1237,12,3
"260",3.91,14215,8,23
"261",3.67,722,47,3
"262",4.62,7805,18,8
"263",0,80,47,0
"264",5,7167,6,3
"265",5,733,112,4
"266",4.33,1237,394,6
"267",4.5,204,4,2
"268",4.58,1601,195,19
"269",0,18,88,0
"270",4.67,528,92,3
"271",4.43,2814,161,21
"272",4,57676,48,19
"273",3.67,102,16,3
"274",0,49,270,0
"275",0,61,9,0
"276",5,140,79,2
"277",0,69,305,0
"278",5,355,200,4
"279",4,1180,113,10
"280",0,1532,549,0
"281",5,1897,230,10
"282",4.57,14437,318,23
"283",5,537,218,1
"284",3.81,13309,15,16
"285",3.35,8548,20,20
"286",3.25,4800,4,8
"287",4.63,12338,78,30
"288",4.4,796,295,5
"289",4.86,12368,152,50
"290",4.67,3616,64,9
"291",4.8,16817,219,30
"292",5,299,103,1
"293",5,5415,12,3
"294",5,6826,461,7
"295",5,1727,30,1
"296",4.69,136731,246,93
"297",4.85,11035,211,39
"298",4.58,5990,347,12
"299",4.88,6758,519,17
"300",4.71,26325,264,68
"301",5,2961,659,8
"302",2,878,306,2
"303",0,393,11,0
"304",4.42,3731,133,31
"305",5,577,189,1
"306",3.78,235777,294,219
"307",4.58,9649,276,12
"308",4.79,2527,294,14
"309",0,1216,274,0
"310",0,781,190,0
"311",5,2981,344,9
"312",4.94,10129,242,31
"313",4.6,450,151,15
"314",4.69,3257,47,13
"315",0,381,550,0
"316",5,1392,124,6
"317",0,452,15,0
"318",3.4,924,51,5
"319",0,216,56,0
"320",3.43,1284,312,7
"321",5,976,359,9
"322",5,2529,424,4
"323",5,207,274,1
"324",5,3586,406,5
"325",4.85,38794,120,191
"326",4.93,3337,117,29
"327",4.92,8124,84,49
"328",5,1924,48,20
"329",5,1767,124,18
"330",4.93,4142,69,30
"331",4.92,13862,123,39
"332",5,2901,80,22
"333",5,1883,79,12
"334",5,3232,79,33
"335",5,92,243,1
