"","state","district_id","cand_id","incumbent","party","primary_votes","primary_percent","runoff_votes","runoff_percent","general_votes","general_percent","won","footnotes"
"1","AL","01","H4AL01123",TRUE,"REP",71310,0.601117770528286,NA,NA,208083,0.963824672407165,TRUE,NA
"2","AL","01","H6AL01060",FALSE,"REP",47319,0.398882229471714,NA,NA,NA,NA,FALSE,NA
"3","AL","02","H0AL02087",TRUE,"REP",78689,0.663706140350877,NA,NA,134886,0.487685477106413,TRUE,NA
"4","AL","02","H6AL02142",FALSE,"REP",33015,0.278466599190283,NA,NA,NA,NA,FALSE,NA
"5","AL","02","H6AL02159",FALSE,"REP",6856,0.0578272604588394,NA,NA,NA,NA,FALSE,NA
"6","AL","02","H6AL02167",FALSE,"DEM",NA,NA,NA,NA,112089,0.405262054204148,FALSE,NA
"7","AL","03","H2AL03032",TRUE,"REP",77432,0.759837497301435,NA,NA,192164,0.66931843513152,TRUE,NA
"8","AL","03","H6AL03157",FALSE,"REP",24474,0.240162502698565,NA,NA,NA,NA,FALSE,NA
"9","AL","03","H4AL03061",FALSE,"DEM",NA,NA,NA,NA,94549,0.329319689032546,FALSE,NA
"10","AL","04","H6AL04098",TRUE,"REP",86660,0.811757652965641,NA,NA,235925,0.985303452999449,TRUE,NA
"11","AL","04","H6AL04148",FALSE,"REP",20096,0.188242347034359,NA,NA,NA,NA,FALSE,NA
"12","AL","05","H0AL05163",TRUE,"REP",NA,NA,NA,NA,205647,0.666979106530101,TRUE,NA
"13","AL","05","H6AL05202",FALSE,"DEM",NA,NA,NA,NA,102234,0.331577615900054,FALSE,NA
"14","AL","06","H4AL06098",TRUE,"REP",NA,NA,NA,NA,245313,0.744939357315081,TRUE,NA
"15","AL","06","H6AL06127",FALSE,"DEM",NA,NA,NA,NA,83709,0.254198222929433,FALSE,NA
"16","AL","07","H0AL07086",TRUE,"DEM",NA,NA,NA,NA,229330,0.984130662409668,TRUE,NA
"17","AK","00","H6AK00045",TRUE,"REP",38998,0.715192194835681,NA,NA,155088,0.503208976047865,TRUE,NA
"18","AK","00","H6AK00284",FALSE,"REP",10189,0.186858127934272,NA,NA,NA,NA,FALSE,NA
"19","AK","00","H6AK00268",FALSE,"REP",2817,0.0516615316901408,NA,NA,NA,NA,FALSE,NA
"20","AK","00","H6AK00276",FALSE,"REP",2524,0.0462881455399061,NA,NA,NA,NA,FALSE,NA
"21","AK","00","H6AK00235",FALSE,"DEM",17009,0.678812307937902,NA,NA,111019,0.360219728875593,FALSE,NA
"22","AK","00","H6AK00250",FALSE,"DEM",5130,0.20473320828511,NA,NA,NA,NA,FALSE,NA
"23","AK","00","H6AK00243",FALSE,"DEM",2918,0.116454483776988,NA,NA,NA,NA,FALSE,NA
"24","AK","00","H2AK00143",FALSE,"LIB",3960,0.714414576943893,NA,NA,31770,0.103083082953166,FALSE,NA
"25","AK","00","H6AK00292",FALSE,"LIB",1583,0.285585423056107,NA,NA,NA,NA,FALSE,NA
"26","AK","00","H6AK00300",FALSE,"NAF",NA,NA,NA,NA,9093,0.029503760569504,FALSE,NA
"27","AK","00","H6AK00318",FALSE,"W",NA,NA,NA,NA,NA,NA,FALSE,NA
"28","AK","00","H6AK00284",FALSE,"W",NA,NA,NA,NA,NA,NA,FALSE,NA
"29","AS","00","H4AS00036",TRUE,"REP",NA,NA,NA,NA,8923,0.754013858374176,TRUE,NA
"30","AS","00","H6AS00031",FALSE,"DEM",NA,NA,NA,NA,1581,0.133598107148893,FALSE,NA
"31","AS","00","H4AS00069",FALSE,"DEM",NA,NA,NA,NA,978,0.0826432313672469,FALSE,NA
"32","AS","00","H4AS00093",FALSE,"DEM",NA,NA,NA,NA,181,0.01529491296265,FALSE,NA
"33","AS","00","H6AS00049",FALSE,"IND",NA,NA,NA,NA,171,0.014449890147034,FALSE,NA
"34","AZ","01","H6AZ01199",FALSE,"DEM",30833,0.587687029448204,NA,NA,142219,0.506640304941042,TRUE,NA
"35","AZ","01","H6AZ01181",FALSE,"DEM",21632,0.412312970551796,NA,NA,NA,NA,FALSE,NA
"36","AZ","01","H2AZ04127",FALSE,"REP",19533,0.308208154506438,NA,NA,121745,0.433703822450216,FALSE,NA
"37","AZ","01","H4AZ01145",FALSE,"REP",14854,0.234378944710932,NA,NA,NA,NA,FALSE,NA
"38","AZ","01","H2AZ09035",FALSE,"REP",14222,0.22440671547589,NA,NA,NA,NA,FALSE,NA
"39","AZ","01","H6AZ01173",FALSE,"REP",10578,0.166908608937137,NA,NA,NA,NA,FALSE,NA
"40","AZ","01","H6AZ01207",FALSE,"REP",2098,0.033104014137844,NA,NA,NA,NA,FALSE,NA
"41","AZ","01","H6AZ01215",FALSE,"REP",2091,0.0329935622317597,NA,NA,NA,NA,FALSE,NA
"42","AZ","01","H6AZ01264",FALSE,"W(GRE)/GRE",66,1,NA,NA,16746,0.0596558726087421,FALSE,NA
"43","AZ","01","H2AZ01321",FALSE,"W(LIB)",144,1,NA,NA,NA,NA,FALSE,NA
"44","AZ","02","H2AZ08102",TRUE,"REP",69378,1,NA,NA,179806,0.569584926460107,TRUE,NA
"45","AZ","02","H2AZ08078",FALSE,"DEM",32017,0.527680263700041,NA,NA,135873,0.430415073539893,FALSE,NA
"46","AZ","02","H6AZ02171",FALSE,"DEM",28658,0.472319736299959,NA,NA,NA,NA,FALSE,NA
"47","AZ","02","H6AZ02213",FALSE,"W(GRE)",38,1,NA,NA,NA,NA,FALSE,NA
"48","AZ","02","H6AZ02205",FALSE,"W(LIB)",164,1,NA,NA,NA,NA,FALSE,NA
"49","AZ","03","H2AZ07070",TRUE,"DEM",35844,1,NA,NA,148973,0.986347535339491,TRUE,NA
"50","AZ","03","H6AZ03245",FALSE,"W",NA,NA,NA,NA,1303,0.00862713940477373,FALSE,NA
"51","AZ","03","H2AZ07161",FALSE,"W",NA,NA,NA,NA,332,0.00219816598801602,FALSE,NA
"52","AZ","03","H6AZ03211",FALSE,"W",NA,NA,NA,NA,283,0.00187373787532691,FALSE,NA
"53","AZ","03","H4AZ03075",FALSE,"W",NA,NA,NA,NA,144,0.000953421392392492,FALSE,NA
"54","AZ","03","H6AZ03237",FALSE,"W(LIB)",77,1,NA,NA,NA,NA,FALSE,NA
"55","AZ","04","H0AZ01259",TRUE,"REP",64947,0.714189887615738,NA,NA,203487,0.714533522015008,TRUE,NA
"56","AZ","04","H6AZ04177",FALSE,"REP",25991,0.285810112384262,NA,NA,NA,NA,FALSE,NA
"57","AZ","04","H2AZ04143",FALSE,"DEM",24097,0.99797067837323,NA,NA,81296,0.285466477984992,FALSE,NA
"58","AZ","04","H6AZ04185",FALSE,"W(D)",49,0.00202932162677048,NA,NA,NA,NA,FALSE,NA
"59","AZ","04","H6AZ04193",FALSE,"W(LIB)",130,1,NA,NA,NA,NA,FALSE,NA
"60","AZ","05","H6AZ05083",FALSE,"REP",25244,0.294934105991214,NA,NA,205184,0.640951631242893,TRUE,NA
"61","AZ","05","H6AZ05125",FALSE,"REP",25217,0.294618655949154,NA,NA,NA,NA,FALSE,NA
"62","AZ","05","H6AZ05117",FALSE,"REP",17745,0.20732077764277,NA,NA,NA,NA,FALSE,NA
"63","AZ","05","H6AZ05091",FALSE,"REP",17386,0.203126460416861,NA,NA,NA,NA,FALSE,NA
"64","AZ","05","H6AZ05133",FALSE,"DEM",16408,0.654461329823302,NA,NA,114940,0.359048368757107,FALSE,NA
"65","AZ","05","H6AZ05141",FALSE,"DEM",8663,0.345538670176698,NA,NA,NA,NA,FALSE,NA
"66","AZ","05","H6AZ05158",FALSE,"W(LIB)",143,1,NA,NA,NA,NA,FALSE,NA
"67","AZ","06","H4AZ06045",TRUE,"REP",63378,0.803137632582718,NA,NA,201578,0.621302905894392,TRUE,NA
"68","AZ","06","H6AZ06081",FALSE,"REP",15535,0.196862367417282,NA,NA,NA,NA,FALSE,NA
"69","AZ","06","H2AZ05132",FALSE,"DEM",17561,0.588229382997253,NA,NA,122866,0.378697094105608,FALSE,NA
"70","AZ","06","H6AZ06057",FALSE,"DEM",12293,0.411770617002747,NA,NA,NA,NA,FALSE,NA
"71","AZ","06","H8AZ03134",FALSE,"W(LIB)",161,1,NA,NA,NA,NA,FALSE,NA
"72","AZ","07","H4AZ07043",TRUE,"DEM",29705,1,NA,NA,119465,0.752246380918198,TRUE,NA
"73","AZ","07","H6AZ07030",FALSE,"REP",10912,1,NA,NA,39286,0.247375811499203,FALSE,NA
"74","AZ","07","H6AZ07048",FALSE,"W",NA,NA,NA,NA,60,0.000377807582598183,FALSE,NA
"75","AZ","07","H6AZ07022",FALSE,"W(LIB)",127,1,NA,NA,NA,NA,FALSE,NA
"76","AZ","08","H4AZ04024",TRUE,"REP",59042,0.710630205575081,NA,NA,204942,0.68549123493583,TRUE,NA
"77","AZ","08","H4AZ08066",FALSE,"REP",24042,0.289369794424919,NA,NA,NA,NA,FALSE,NA
"78","AZ","08","H2AZ06197",FALSE,"W(GRE)/GRE",27,1,NA,NA,93954,0.314257904612822,FALSE,NA
"79","AZ","08","H6AZ08194",FALSE,"W(D)",640,1,NA,NA,NA,NA,FALSE,NA
"80","AZ","08","H6AZ08202",FALSE,"W",NA,NA,NA,NA,75,0.000250860451348124,FALSE,NA
"81","AZ","09","H2AZ09019",TRUE,"DEM",38948,1,NA,NA,169055,0.609191840205833,TRUE,NA
"82","AZ","09","H6AZ09010",FALSE,"REP",25963,0.606895745675549,NA,NA,108350,0.390440601498341,FALSE,NA
"83","AZ","09","H6AZ09036",FALSE,"REP",16817,0.393104254324451,NA,NA,NA,NA,FALSE,NA
"84","AZ","09","H6AZ09051",FALSE,"W(LIB)",210,1,NA,NA,NA,NA,FALSE,NA
"85","AZ","09","H6AZ09069",FALSE,"W",NA,NA,NA,NA,56,0.000201796711434306,FALSE,NA
"86","AZ","09","H6AZ09077",FALSE,"W",NA,NA,NA,NA,46,0.000165761584392466,FALSE,NA
"87","AR","01","H0AR01083",TRUE,"REP",NA,NA,NA,NA,183866,0.762780702518596,TRUE,NA
"88","AR","01","H6AR01114",FALSE,"LIB",NA,NA,NA,NA,57181,0.237219297481404,FALSE,NA
"89","AR","02","H4AR02141",TRUE,"REP",86474,0.845422104902967,NA,NA,176472,0.583447947524333,TRUE,NA
"90","AR","02","H6AR02252",FALSE,"REP",15811,0.154577895097033,NA,NA,NA,NA,FALSE,NA
"91","AR","02","H6AR02245",FALSE,"DEM",NA,NA,NA,NA,111347,0.368133067075751,FALSE,NA
"92","AR","02","H2AR02061",FALSE,"LIB",NA,NA,NA,NA,14342,0.047417213288193,FALSE,NA
"93","AR","03","H0AR03055",TRUE,"REP",NA,NA,NA,NA,217192,0.773181159600864,TRUE,NA
"94","AR","03","H6AR03110",FALSE,"LIB",NA,NA,NA,NA,63715,0.226818840399136,FALSE,NA
"95","AR","04","H4AR04048",TRUE,"REP",NA,NA,NA,NA,182885,0.74904058420947,TRUE,NA
"96","AR","04","H6AR04076",FALSE,"LIB",NA,NA,NA,NA,61274,0.25095941579053,FALSE,NA
"97","CA","01","H2CA02142",TRUE,"REP",86136,0.407906575869221,NA,NA,185448,0.590531021921054,TRUE,NA
"98","CA","01","H6CA01194",FALSE,"DEM",59665,0.282550221153027,NA,NA,128588,0.409468978078946,FALSE,NA
"99","CA","01","H6CA01186",FALSE,"REP",35875,0.169890039116146,NA,NA,NA,NA,FALSE,NA
"100","CA","01","H6CA01202",FALSE,"DEM",13430,0.0635992536677306,NA,NA,NA,NA,FALSE,NA
"101","CA","01","H2CA01151",FALSE,"REP",6885,0.0326046806777606,NA,NA,NA,NA,FALSE,NA
"102","CA","01","H4CA04110",FALSE,"NOP",4958,0.0234791585766648,NA,NA,NA,NA,FALSE,NA
"103","CA","01","H2CA01136",FALSE,"REP",4217,0.0199700709394505,NA,NA,NA,NA,FALSE,NA
"104","CA","02","H2CA06259",TRUE,"DEM",157897,0.683004585171728,NA,NA,254194,0.768500994660878,TRUE,NA
"105","CA","02","H4CA02098",FALSE,"REP",36187,0.15653170689506,NA,NA,76572,0.231499005339122,FALSE,NA
"106","CA","02","H6CA02234",FALSE,"DEM",20998,0.0908296565446838,NA,NA,NA,NA,FALSE,NA
"107","CA","02","H6CA02242",FALSE,"NOP",16092,0.0696080975862964,NA,NA,NA,NA,FALSE,NA
"108","CA","02","H6CA02226",FALSE,"W(D)",6,2.5953802232027e-05,NA,NA,NA,NA,FALSE,NA
"109","CA","03","H0CA10149",TRUE,"DEM",98430,0.631074808298925,NA,NA,152513,0.593514317069184,TRUE,NA
"110","CA","03","H6CA03117",FALSE,"REP",37843,0.242626881748006,NA,NA,104453,0.406485682930816,FALSE,NA
"111","CA","03","H6CA03125",FALSE,"REP",19699,0.126298309953069,NA,NA,NA,NA,FALSE,NA
"112","CA","04","H8CA04152",TRUE,"REP",135626,0.614637904468413,NA,NA,220133,0.627198855768738,TRUE,NA
"113","CA","04","H6CA04156",FALSE,"DEM",60574,0.274512825160881,NA,NA,130845,0.372801144231262,FALSE,NA
"114","CA","04","H6CA04164",FALSE,"DEM",24460,0.110849270370706,NA,NA,NA,NA,FALSE,NA
"115","CA","05","H8CA01109",TRUE,"DEM",124634,0.6570023352539,NA,NA,224526,0.768685101560815,TRUE,NA
"116","CA","05","H6CA05336",FALSE,"REP",36430,0.192039050927512,NA,NA,67565,0.231314898439185,FALSE,NA
"117","CA","05","H6CA05344",FALSE,"DEM",23639,0.124611889236219,NA,NA,NA,NA,FALSE,NA
"118","CA","05","H6CA05351",FALSE,"DEM",4998,0.0263467245823691,NA,NA,NA,NA,FALSE,NA
"119","CA","06","H6CA05195",TRUE,"DEM",99599,0.703810223723448,NA,NA,177565,0.754270155004184,TRUE,NA
"120","CA","06","H6CA06227",FALSE,"REP",26000,0.183727405062397,NA,NA,57848,0.245729844995816,FALSE,NA
"121","CA","06","H6CA06219",FALSE,"DEM",7631,0.0539239933858134,NA,NA,NA,NA,FALSE,NA
"122","CA","06","H6CA06235",FALSE,"NOP",6354,0.0449001512217872,NA,NA,NA,NA,FALSE,NA
"123","CA","06","H6CA28163",FALSE,"NOP",1930,0.0136382266065548,NA,NA,NA,NA,FALSE,NA
"124","CA","07","H0CA03078",TRUE,"DEM",93506,0.540041352384693,NA,NA,152133,0.511713717747334,TRUE,NA
"125","CA","07","H6CA07126",FALSE,"REP",79640,0.459958647615307,NA,NA,145168,0.488286282252667,FALSE,NA
"126","CA","08","H2CA08164",TRUE,"REP",50425,0.419938872556776,NA,NA,136972,0.622580190630298,TRUE,NA
"127","CA","08","H8CA41139",FALSE,"DEM",26325,0.219234324641688,NA,NA,83035,0.377419809369702,FALSE,NA
"128","CA","08","H6CA08207",FALSE,"REP",24886,0.207250347693563,NA,NA,NA,NA,FALSE,NA
"129","CA","08","H6CA08215",FALSE,"DEM",11780,0.0981037167817317,NA,NA,NA,NA,FALSE,NA
"130","CA","08","H6CA08199",FALSE,"DEM",6661,0.0554727383262407,NA,NA,NA,NA,FALSE,NA
"131","CA","09","H4CA11081",TRUE,"DEM",71634,0.552701628770051,NA,NA,133163,0.573595227326571,TRUE,NA
"132","CA","09","H0CA11337",FALSE,"REP",28161,0.217279930867932,NA,NA,98992,0.426404772673429,FALSE,NA
"133","CA","09","H6CA09098",FALSE,"REP",24783,0.191216523798869,NA,NA,NA,NA,FALSE,NA
"134","CA","09","H6CA09106",FALSE,"LIB",5029,0.0388019165631486,NA,NA,NA,NA,FALSE,NA
"135","CA","10","H0CA19173",TRUE,"REP",61290,0.47730299278088,NA,NA,124671,0.51700457408736,TRUE,NA
"136","CA","10","H4CA10075",FALSE,"DEM",35413,0.275782850111752,NA,NA,116470,0.48299542591264,FALSE,NA
"137","CA","10","H2CA00096",FALSE,"DEM",18576,0.144662757283368,NA,NA,NA,NA,FALSE,NA
"138","CA","10","H6CA10146",FALSE,"REP",13130,0.102251399824,NA,NA,NA,NA,FALSE,NA
"139","CA","11","H0CA10073",TRUE,"DEM",133317,0.753326816258031,NA,NA,214868,0.720528220140908,TRUE,NA
"140","CA","11","H6CA11169",FALSE,"REP",43654,0.246673183741969,NA,NA,83341,0.279471779859092,FALSE,NA
"141","CA","12","H8CA05035",TRUE,"DEM",169537,0.781125312151565,NA,NA,274035,0.808732606353938,TRUE,NA
"142","CA","12","H6CA12175",FALSE,"NOP",16633,0.0766349370167986,NA,NA,64810,0.191267393646062,FALSE,NA
"143","CA","12","H6CA12183",FALSE,"REP",16583,0.0764045668580275,NA,NA,NA,NA,FALSE,NA
"144","CA","12","H4CA12089",FALSE,"GRE",14289,0.0658351839736088,NA,NA,NA,NA,FALSE,NA
"145","CA","13","H8CA09060",TRUE,"DEM",192227,0.919548422588438,NA,NA,293117,0.907845548222045,TRUE,NA
"146","CA","13","H6CA13140",FALSE,"REP",16818,0.0804515774115621,NA,NA,29754,0.0921544517779547,FALSE,NA
"147","CA","14","H8CA12171",TRUE,"DEM",144719,0.990418768264223,NA,NA,231630,0.808631265120598,TRUE,NA
"148","CA","14","H6CA14114",FALSE,"W(R)/R",1400,0.009581231735777,NA,NA,54817,0.191368734879402,FALSE,NA
"149","CA","15","H2CA15094",TRUE,"DEM",110803,0.765029171125764,NA,NA,198578,0.737667953208988,TRUE,NA
"150","CA","15","H6CA15152",FALSE,"REP",34032,0.234970828874236,NA,NA,70619,0.262332046791012,FALSE,NA
"151","CA","16","H4CA20082",TRUE,"DEM",52822,0.559146386645355,NA,NA,97473,0.580348424587392,TRUE,NA
"152","CA","16","H2CA16100",FALSE,"REP",31028,0.328446368650033,NA,NA,70483,0.419651575412608,FALSE,NA
"153","CA","16","H6CA16135",FALSE,"REP",10606,0.112269633424721,NA,NA,NA,NA,FALSE,NA
"154","CA","17","H4CA12055",FALSE,"DEM",52059,0.390798126294928,NA,NA,142268,0.610089539949913,TRUE,NA
"155","CA","17","H0CA15148",TRUE,"DEM",49823,0.374012851695043,NA,NA,90924,0.389910460050088,FALSE,NA
"156","CA","17","H6CA17158",FALSE,"REP",12224,0.0917635047893583,NA,NA,NA,NA,FALSE,NA
"157","CA","17","H6CA17141",FALSE,"REP",10448,0.0784313725490196,NA,NA,NA,NA,FALSE,NA
"158","CA","17","H6CA17166",FALSE,"DEM",5533,0.0415352971203795,NA,NA,NA,NA,FALSE,NA
"159","CA","17","H6CA17174",FALSE,"LIB",3125,0.0234588475512717,NA,NA,NA,NA,FALSE,NA
"160","CA","18","H8CA12098",TRUE,"DEM",132726,0.681971626905627,NA,NA,230460,0.71145000463063,TRUE,NA
"161","CA","18","H4CA18094",FALSE,"REP",47484,0.243981893012573,NA,NA,93470,0.28854999536937,FALSE,NA
"162","CA","18","H6CA18115",FALSE,"DEM",14411,0.0740464800818,NA,NA,NA,NA,FALSE,NA
"163","CA","19","H4CA16049",TRUE,"DEM",107773,0.760775649080205,NA,NA,181802,0.739444324684886,TRUE,NA
"164","CA","19","H6CA19121",FALSE,"REP",33889,0.239224350919795,NA,NA,64061,0.260555675315115,FALSE,NA
"165","CA","20","H6CA20152",FALSE,"DEM",116826,0.708302513671804,NA,NA,180980,0.707530757532517,TRUE,NA
"166","CA","20","H6CA20145",FALSE,"REP",32726,0.198413949484049,NA,NA,74811,0.292469242467483,FALSE,NA
"167","CA","20","H6CA20178",FALSE,"PAF",6400,0.0388024591058458,NA,NA,NA,NA,FALSE,NA
"168","CA","20","H6CA20194",FALSE,"NOP",6054,0.036704701160436,NA,NA,NA,NA,FALSE,NA
"169","CA","20","H6CA20186",FALSE,"NOP",2932,0.0177763765778656,NA,NA,NA,NA,FALSE,NA
"170","CA","21","H2CA20094",TRUE,"REP",37367,0.540250990370992,NA,NA,75126,0.567382635490303,TRUE,NA
"171","CA","21","H6CA21218",FALSE,"DEM",16743,0.242069803082439,NA,NA,57282,0.432617364509697,FALSE,NA
"172","CA","21","H6CA21192",FALSE,"DEM",15056,0.217679206546569,NA,NA,NA,NA,FALSE,NA
"173","CA","22","H8CA20059",TRUE,"REP",86479,0.63806129827202,NA,NA,158755,0.675650945243142,TRUE,NA
"174","CA","22","H6CA22182",FALSE,"DEM",40247,0.29695131848835,NA,NA,76211,0.324349054756858,FALSE,NA
"175","CA","22","H6CA22166",FALSE,"REP",8808,0.0649873832396299,NA,NA,NA,NA,FALSE,NA
"176","CA","23","H6CA22125",TRUE,"REP",76166,0.554604103863574,NA,NA,167116,0.69175110934499,TRUE,NA
"177","CA","23","H6CA23206",FALSE,"DEM",37696,0.274484104446095,NA,NA,74468,0.30824889065501,FALSE,NA
"178","CA","23","H6CA23222",FALSE,"REP",17738,0.129159567186567,NA,NA,NA,NA,FALSE,NA
"179","CA","23","H6CA23214",FALSE,"REP",5734,0.0417522245037645,NA,NA,NA,NA,FALSE,NA
