"","cand_pty_affiliation","general_votes","ttl_disb","can_party","disb","votes"
"1","REP",208083,1172750.28,"REP",13.9748622149457,208083
"2","REP",134886,1850535.64,"REP",14.4309856902824,134886
"3","DEM",112089,36844,"DEM",10.5144480621081,112089
"4","REP",192164,1071289.42,"REP",13.8843735463501,192164
"5","DEM",94549,7348,"DEM",8.90218344633502,94549
"6","REP",235925,1394461.23,"REP",14.1480186835836,235925
"7","REP",205647,119723.76,"REP",11.6929423680889,205647
"8","DEM",102234,61251.11,"DEM",11.0227372506917,102234
"9","REP",245313,769978.37,"REP",13.5541177025262,245313
"10","DEM",83709,197378.52,"DEM",12.1928785854711,83709
"11","DEM",229330,1087017.93,"DEM",13.8989486609075,229330
"12","REP",155088,1322055.12,"REP",14.094697992927,155088
"13","DEM",111019,1098098.09,"DEM",13.9090902322163,111019
"14","REP",8923,75562.51,"REP",11.2327155396979,8923
"15","DEM",1581,38167.44,"DEM",10.5497380751118,1581
"16","DEM",978,8243,"DEM",9.01711963431323,978
"17","DEM",142219,1588705.07,"DEM",14.2784298209915,142219
"18","REP",121745,1293719.68,"REP",14.0730320999724,121745
"19","REP",179806,8004418.35,"REP",15.895504240936,179806
"20","DEM",148973,642529.38,"DEM",13.3731678223325,148973
"21","REP",203487,712872.46,"REP",13.4770578054155,203487
"22","DEM",81296,35258.96,"DEM",10.4704749603382,81296
"23","REP",205184,947069.35,"REP",13.7611276007435,205184
"24","DEM",114940,18649.88,"DEM",9.83359499073491,114940
"25","REP",201578,806820.62,"REP",13.6008566424946,201578
"26","DEM",122866,6623.91,"DEM",8.79844110901627,122866
"27","DEM",119465,734379.24,"DEM",13.506780849915,119465
"28","REP",39286,32120.36,"REP",10.377245375968,39286
"29","REP",204942,360898.55,"REP",12.7963521728894,204942
"30","DEM",169055,2441662.77,"DEM",14.7081898282936,169055
"31","REP",108350,273722.04,"REP",12.5198684179102,108350
"32","REP",183866,808955.49,"REP",13.6034991759856,183866
"33","REP",176472,1640764.53,"REP",14.310672868003,176472
"34","DEM",111347,28822.83,"DEM",10.2689230604301,111347
"35","REP",217192,568200.63,"REP",13.2502298571661,217192
"36","REP",182885,464458.86,"REP",13.0486282649606,182885
"37","REP",185448,808869.52,"REP",13.603392897495,185448
"38","DEM",128588,134916.57,"DEM",11.8124118663799,128588
"39","DEM",254194,757560.62,"DEM",13.5378588395664,254194
"40","REP",76572,4228,"REP",8.34948434699013,76572
"41","DEM",152513,879539.66,"DEM",13.6871539359464,152513
"42","REP",104453,380024.03,"REP",12.8479897665453,104453
"43","REP",220133,1000517.91,"REP",13.8160283338952,220133
"44","DEM",130845,90885.98,"DEM",11.4173610328465,130845
"45","DEM",224526,2015932.06,"DEM",14.5165922072087,224526
"46","REP",67565,2700,"REP",7.90100705199242,67565
"47","DEM",177565,1003549.57,"DEM",13.8190538431086,177565
"48","REP",57848,2805,"REP",7.9391588179568,57848
"49","DEM",152133,4192531.21,"DEM",15.2488152168975,152133
"50","REP",145168,1355340.14,"REP",14.1195630066245,145168
"51","REP",136972,909665.99,"REP",13.7208327671599,136972
"52","DEM",83035,31604.31,"DEM",10.3610487826795,83035
"53","DEM",133163,1154434.25,"DEM",13.9591209550938,133163
"54","REP",98992,67038.68,"REP",11.1130250452246,98992
"55","REP",124671,4183054.63,"REP",15.2465523103438,124671
"56","DEM",116470,1586983.34,"DEM",14.2773455016589,116470
"57","DEM",214868,425816.84,"DEM",12.9617645797435,214868
"58","REP",83341,7789.5,"REP",8.96053195195248,83341
"59","DEM",274035,3577235.57,"DEM",15.090100872936,274035
"60","IND",64810,19544.26,"Other",9.88043691616468,64810
"61","DEM",293117,1374381.11,"DEM",14.1335140859384,293117
"62","REP",29754,4521,"REP",8.41648848729461,29754
"63","DEM",231630,609007.1,"DEM",13.3195852050806,231630
"64","REP",54817,4140.06,"REP",8.32846555946796,54817
"65","DEM",198578,1370215.24,"DEM",14.130478394953,198578
"66","REP",70619,632.75,"REP",6.45007539942523,70619
"67","DEM",97473,1760735.77,"DEM",14.3812423307917,97473
"68","REP",70483,548941.25,"REP",13.2157467020149,70483
"69","DEM",142268,3679115.6,"DEM",15.1181829551752,142268
"70","DEM",90924,2984634.37,"DEM",14.9089878081942,90924
