"","can_party","general_votes","ttl_disb","state","lamvotes","tvotes","tdisb","disb","votes"
"1","Other",64810,19544.26,"CA",2497.2721029934,-0.72732963527245,-0.686288278826358,9.88043691616468,64810
"2","Other",9395,27973.97,"FL",683.626511832251,-0.88380449416785,-0.467856405415926,10.2390297139143,9395
"3","Other",16951,13970,"FL",1015.89418229276,-0.868716687397204,-0.495309314507236,9.54466745225101,16951
"4","Other",12503,26680.15,"FL",828.214420777856,-0.8787074114305,-0.477360749430773,10.1916751222027,12503
"5","Other",5180,23459.36,"FL",458.26211893519,-0.889166699119477,-0.457583414446998,10.0630248413579,5180
"6","Other",3897,10398,"FL",378.447069698551,-0.888692391685513,-0.458503907246473,9.24936875894366,3897
"7","Other",25005,1399.32,"ID",1318.59640358448,-0.850524521265712,-0.525935394060651,7.24374168332024,25005
"8","Other",86222,6353,"IL",3023.95286002608,-0.592783539523505,-0.805361828788765,8.75668242126653,86222
"9","Other",79,16034.23,"IL",26.3901962275586,-0.894818546539958,-0.446430026732204,9.68248109101791,79
"10","Other",18780,4445.99,"IL",1088.1931364567,-0.863476008787845,-0.504389910929841,8.39975784530884,18780
"11","Other",187583,2364757.42,"IL",5091.40368927025,0.526442320916413,0.850210846054166,14.6761860038229,187583
"12","Other",14766,1907.49,"IN",926.04461932228,-0.870168838728531,-0.492753682995714,7.55354352068091,14766
"13","Other",15329,7471.44,"IN",949.59274137042,-0.870281474181396,-0.492554723555319,8.91884303063324,15329
"14","Other",11475,18212.52,"IN",781.864054729803,-0.878758531471591,-0.477266637599878,9.80986454864973,11475
"15","Other",19021,87797.07,"KS",1097.5425021477,-0.879845209140426,-0.475260358069806,11.382783407768,19021
"16","Other",11201,13060.2,"MD",769.281808727224,-0.878229482381475,-0.478239454955325,9.47732471664885,11201
"17","Other",27511,17850,"MA",1405.83268040215,-0.848790306772535,-0.528729623842836,9.78975878720778,27511
"18","Other",26233,55330.17,"MA",1361.68785288239,-0.859724301945523,-0.510758381863952,10.9210736083617,26233
"19","Other",8338,8608,"MA",630.972705964414,-0.881874728204217,-0.471483789493063,9.06044728240157,8338
"20","Other",13386,6189.39,"MI",867.030309373357,-0.873348446193081,-0.487095977741688,8.73059181478066,13386
"21","Other",101277,12711.02,"MI",3368.41086648698,-0.461769269211735,-0.887000080051665,9.45022461273376,101277
"22","Other",16248,9131,"MI",987.427410489572,-0.869000417782739,-0.494811351823526,9.11943049661634,16248
"23","Other",2250,0,"MI",261.466126596548,-0.889190429362294,-0.457537299387163,0,2250
"24","Other",7489,568.65,"MI",587.065322486301,-0.881705337203863,-0.471800485741825,6.34326513063045,7489
"25","Other",28869,4100.26,"MN",1452.00554609491,-0.842699780410543,-0.53838376656064,8.31880566531592,28869
"26","Other",169243,1974811.76,"MN",4752.15936585132,0.493891463032071,0.869523560775693,14.4959836403825,169243
"27","Other",203299,966856.3,"MN",5373.47455549971,0.993639366127108,-0.112609103017999,13.7818051594631,203299
"28","Other",179098,2892902.31,"MN",4935.88106176152,0.342805248512529,0.939406494331535,14.877770815673,179098
"29","Other",3605,1894,"MO",359.129055750813,-0.887624610532102,-0.460567639742237,7.54644627374602,3605
"30","Other",229792,1312776.97,"MO",5833.22160478939,0.987893414548741,0.155134140314856,14.0876552759472,229792
"31","Other",13897,24780.89,"NV",889.106673255099,-0.876069805422203,-0.482184296745035,10.1178280705995,13897
"32","Other",34735,2022443.42,"NH",1643.78546237499,-0.862625375747891,0.505843316764994,14.5198169522453,34735
"33","Other",5473,36034,"NJ",475.527088671083,-0.890959686005297,-0.454082413129315,10.4922182161756,5473
"34","Other",2653,502.48,"NJ",292.156887691324,-0.888718051200287,-0.458454169433285,6.21955583814613,2653
"35","Other",1877,14082.5,"NY",231.395006181482,-0.892106131864596,-0.451825906173593,9.55268817076887,1877
"36","Other",12452,15013.37,"NY",825.94534913758,-0.876578574367012,-0.48125876922992,9.61669641641601,12452
"37","Other",24595,3015593.95,"NY",1304.0546435802,-0.673216427089917,0.739445496501457,14.9193073670834,24595
"38","Other",10043,3015593.95,"NY",714.937386755008,-0.716926823848128,0.697148426984552,14.9193073670834,10043
"39","Other",23528,2546.2,"ND",1265.82999074841,-0.853830366738646,-0.520551346972563,7.84235733062754,23528
"40","Other",10605,56474.77,"MP",741.556281447347,-0.88720925688218,-0.461367244722216,10.9415492687294,10605
"41","Other",21694,16655.74,"OH",1198.76033320572,-0.86046238731087,-0.50951396450272,9.72051018074252,21694
"42","Other",10890,22085.62,"OH",754.876734170387,-0.880409031829794,-0.474215074278037,10.0026819969895,10890
"43","Other",718591,917851.32,"PR",12523.2263075018,0.999832335941029,-0.0183111989423204,13.7297906957012,718591
"44","Other",19033,2003.45,"PR",1098.00700570491,-0.862506270019255,-0.506046375520537,7.60262597343836,19033
"45","Other",4057,310.8,"TN",388.829033117993,-0.886707048355728,-0.462331710351206,5.73914961849349,4057
"46","Other",22813,3188.57,"TX",1239.89507023184,-0.855415421208236,-0.517942523026578,8.06732781941116,22813
"47","Other",16883,89481.39,"WV",1013.15789095405,-0.883701892336868,-0.468050174105553,11.401785949681,16883
"48","Other",7486,468.89,"WI",586.907346854728,-0.881691823883231,-0.471825738697521,6.15036819935928,7486
"49","Other",32183,2829.9,"WI",1561.78097439424,-0.83466038498891,-0.55076496051416,7.94799665432392,32183
"50","Other",19716,39620,"WI",1124.28816439978,-0.868915915404914,-0.494959727610277,10.5870893202525,19716
"51","Other",10362,571,"WY",730.105280196422,-0.877234493379781,-0.480062124755451,6.34738920965601,10362
