age,length,views,rate,ratings,comments
1131,126,204,3,2,1
1236,243,1652,3.91,11,4
1243,105,898,4.48,81,36
1237,278,928,5,24,13
1252,26,392,1.5,8,17
1236,252,318,5,2,3
1053,162,749,3,6,6
1240,37,10,0,0,0
1237,166,115,2,1,0
1187,139,617,4.67,24,17
1233,361,37,5,1,1
1236,243,266,5,3,1
1250,167,4516,4.65,52,50
1250,234,2912,4.73,30,17
1238,361,2742,3.96,114,119
1255,127,8185,0,0,101
1257,421,445,5,1,9
1257,240,725,5,17,15
1199,150,306,5,2,0
1258,362,82,1,1,0
1249,48,57,5,1,3
1028,474,589,2,3,1
1232,106,286,1,2,3
1230,523,627,4.7,10,10
1249,422,66,0,0,0
1207,196,3320,4.28,29,45
1247,89,1586,3.33,3,0
1190,303,3989,4.77,35,31
1145,260,3484,4.75,51,38
1144,243,38,0,0,0
1172,16,90,0,0,0
930,116,8309,4.17,23,48
635,354,10823,4.75,16,8
1151,191,57,0,0,0
1244,259,253,4.75,4,5
1255,12,354,3.36,11,19
1257,57,21,0,0,1
1257,40,13,0,0,0
1255,17,16,0,0,0
1257,31,21,0,0,0
1252,80,642,1.52,29,31
1257,21,3,0,0,1
1257,19,44,0,0,2
1243,243,145,3,2,2
1257,13,781,2.11,53,59
1251,117,125,3.29,7,2
1237,100,789,5,2,4
1232,37,511,0,0,0
1229,34,589,3.67,3,1
1230,32,552,2.67,3,3
1254,84,36,0,0,0
1229,223,671,2.5,2,0
1257,41,54,5,1,1
1251,56,31,0,0,0
1251,27,272,4,1,1
1251,13,591,3,2,1
1250,28,360,4.57,7,3
1252,164,247,5,1,0
1252,59,227,0,0,0
1252,97,12,5,1,2
1251,248,60,1,1,1
1253,25,47,3.67,3,1
1251,49,17,0,0,0
1251,341,2325,4.65,43,31
1251,230,80,1,1,0
1253,137,18,0,0,0
1245,111,2782,5,24,14
845,236,3606,2.7,43,10
977,63,63,5,1,1
1252,458,173,2.8,5,8
1252,150,155,5,1,1
1076,30,2006,5,12,8
968,84,3545,5,8,13
855,30,13380,4.81,16,70
990,29,1522,5,5,0
1003,30,1564,4.33,3,9
1258,186,50,5,6,0
,,,,,
1037,171,4126,4.85,34,9
1129,140,1036,4.58,12,4
1018,123,3037,4.67,27,32
1008,71,1080,4.73,11,5
1118,238,3270,4.17,18,19
983,245,1808,4.76,17,10
920,421,3429,3.4,30,32
818,688,3025,5,11,9
847,296,2361,4.25,4,3
536,85,6660,4.89,19,14
1050,182,573,5,3,3
452,32,9896,4.69,29,12
480,192,10899,4.65,34,20
964,139,4190,4.33,9,11
508,157,5441,5,8,15
521,190,6051,4.72,18,14
1051,218,147,5,2,0
508,149,3600,4.6,10,3
527,30,21614,4.78,18,42
960,575,5234,4.73,15,21
768,50,31836,4.65,34,54
791,280,2389,4.86,7,12
